Assets under management,Brokers,City,Cost ratio,Date,Educational qualifications,Gender,ID,Insurer,People,Policy tenuer,Premium,Premium 1,Profitability,Sahreholding pattern,Stakeholder,Age,Calculation1,Calculation2,Value Created,Zero
Equity,Rushi,Pune,Total cost ratio,01-01-2014,Graduate,Male,3001,Lives cover,Employee adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,30,10000,10000,10000,0
Debt,Krishna,Mumbai,Commission ratio,02-01-2014,Masters,Female,3002,Employee,CIF adoption,1 to 3 years,Indivisual rated,Single premium,Net worth,DII,Customers,40,0,20000,20000,0
Debt,Gita,Jhalna,Opex ratio,03-01-2014,CA/CS,Male,3004,Corporate agent,LM adoption,3 to 5 years,New premium,First year premium,Profit after tax,FII,Distributors,50,0,45000,45000,0
Debt,Puja,Pune,Total cost ratio,04-01-2014,Proessinal qualification,Male,3005.333333333,Broker,LM adoption,Less than 1 year,New premium,Renewal premium,Profit after tax,Retail,People,25,0,35000,35000,0
Debt,Sheela,Pune,Total cost ratio,05-01-2014,Graduate,Male,3006.833333333,Partner branchaes,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Environment,64,0,5436,5436,0
Debt,Rita,Pune,Total cost ratio,06-01-2014,Graduate,Male,3008.333333333,Bancassurance partners,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Community,67,0,43466,43466,0
Debt,Mina,Pune,Total cost ratio,07-01-2014,Graduate,Male,3009.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Premium,32,0,53432,53432,0
Debt,Rushi,Pune,Total cost ratio,08-01-2014,Graduate,Male,3011.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,58,0,49999.714285714,49999.714285714,0
Debt,Krishna,Pune,Total cost ratio,09-01-2014,Graduate,Male,3012.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,54916.285714286,54916.285714286,0
Debt,Gita,Pune,Total cost ratio,10-01-2014,Graduate,Male,3014.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,59832.857142857,59832.857142857,0
Debt,Puja,Pune,Total cost ratio,11-01-2014,Graduate,Male,3015.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,64749.428571429,64749.428571429,0
Debt,Sheela,Pune,Total cost ratio,12-01-2014,Graduate,Male,3017.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,69666,69666,0
Debt,Rita,Pune,Total cost ratio,13-01-2014,Graduate,Male,3018.833333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,74582.571428571,74582.571428571,0
Debt,Mina,Pune,Total cost ratio,14-01-2014,Graduate,Male,3020.333333333,Lives cover,LM adoption,More than 5 years,New premium,Renewal premium,Profit after tax,Promotors,Investors,15,0,79499.142857143,79499.142857143,0
